Papers,Link,HandName,Num. of Fingers,DoF,Num. Actuators,Palm (used or not),Reposition / Opposition,Abduction / Adduction,Flexion/Extension,Tactile Feedback,Kinesthetic Feedback,Visual Feedback,No Contact -> No Motion: Rest position,No Contact -> Motion -> Not Within Hand: Waving,No Contact -> Motion -> Within Hand: Signing,Contact -> Non-Prehensile -> No Motion -> No Motion at Contact: Open handed hold,Contact -> Non-Prehensile -> No Motion -> Motion at Contact: Open handed hold with external force,Contact -> Non-Prehensile -> Motion -> Not Within Hand -> No Motion at Contact: Pushing coin,Contact -> Non-Prehensile -> Motion -> Not Within Hand -> Motion at Contact: Tactile surface exploration,Contact -> Non-Prehensile -> Motion -> Within Hand -> No Motion at Contact: Flipping light switch,Contact -> Non-Prehensile -> Motion -> Within Hand -> Motion at Contact: Rolling ball on table,Contact -> Prehensile -> No Motion -> No Motion at Contact: Holding object still,Contact -> Prehensile -> No Motion -> Motion at Contact: Holding object with external force,Contact -> Prehensile -> Motion -> Not Within Hand -> No Motion at Contact: Turning doorknob,Contact -> Prehensile -> Motion -> Not Within Hand -> Motion at Contact: Sliding hand along handrail,Contact -> Prehensile -> Motion -> Within Hand -> No Motion at Contact: Writing,Contact -> Prehensile -> Motion -> Within Hand -> Motion at Contact: Reorienting pen,Contact -> Prehensile -> Motion -> Within Hand -> No Motion at Contact: DoF,Contact -> Prehensile -> Motion -> Within Hand -> Motion at Contact: DoF
Kinesthetic Sensing for Peg-In-Hole Assembly Based on In-Hand Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9523771,Custom Hand,3,11,11,No,Switching,Neither of the two,Switching,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,1,-
Living Object Grasping Using Two-Stage Graph Reinforcement Learning,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9359355,Shadow Hand,5,24,20,Yes,Switching,Switching,Switching,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,-,-
Modeling and Evaluation of Robust Whole-Hand Caging Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8626491,Custom Hand,2,3,3,No,Neither of the two,Neither of the two,Switching,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,-,1
"Modular, Accessible, Sensorized Objects for Evaluating the Grasping and Manipulation Capabilities of Grippers and Hands",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9144425,Custom Hand,2,4,4,Yes,Neither of the two,Neither of the two,Switching,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,-,1
Morphology Specific Stepwise Learning of In-Hand Manipulation With a Four-Fingered Hand,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8616845,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,-,1
"OLYMPIC: A Modular, Tendon-Driven Prosthetic Hand With Novel Finger and Wrist Coupling Mechanisms",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8917699,Custom Hand,5,20,11,No,Switching,Switching,Switching,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,-,-
Object manipulation by integrated control of Independent Anthropomorphic Hand and Arm Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9649785,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,-,-
Peg-in-Hole Assembly With Dual-Arm Robot and Dexterous Robot Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811265,Allegro Hand,4,16,16,Yes,Switching,Switching,Switching,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,-,4
RBO Hand 3: A Platform for Soft Dexterous Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9761831,Custom Hand,5,12,12,Yes,Switching,Switching,Switching,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-,2
Reconfigurable Underactuated Adaptive Gripper Designed by Morphological Computation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9811738,Custom Hand,5,10,10,Yes,Neither of the two,Neither of the two,Switching,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,1,-
Synergy-Based Control of Underactuated Anthropomorphic Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8367781,S5FH,5,20,9,Yes,Switching,Switching,Switching,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,-,-
Towards Complex and Continuous Manipulation: A Gesture Based Anthropomorphic Robotic Hand Design,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9420232,Custom Hand,5,15,13,Yes,Switching,Switching,Switching,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,6
A closed-loop bin picking system for entangled wire harnesses using bimanual and dynamic manipulation,https://www.sciencedirect.com/science/article/pii/S073658452300145X,Custom Hand,2,2,1,No,Neither of the two,Neither of the two,Switching,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,-,-
A Variable Stiffness Actuation Based Robotic Hand Designed for Interactions,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10164810,Custom Hand (AVS Hand),3,8,8,No,Switching,Neither of the two,Switching,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Bi-DexHands: Towards Human-Level Bimanual Dexterous Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10343126,Shadow Hand,5,24,20,Yes,Switching,Switching,Switching,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-,1
Deep Predictive Model Learning With Parametric Bias: Handling Modeling Difficulties and Temporal Model Changes,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10105648,Custom Hand,5,18,7,Yes,Switching,Neither of the two,Switching,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,-,-
DexDLO: Learning Goal-Conditioned Dexterous Policy for Dynamic Manipulation of Deformable Linear Objects,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10610754,Shadow Hand,5,24,20,Yes,Switching,Switching,Switching,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,-,-
Grasp Multiple Objects With One Hand,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10460998,Shadow Hand,5,24,20,Yes,Switching,Switching,Switching,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Robust In-Hand Manipulation with Extrinsic Contacts,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10611664,Schunk WSG-32,2,1,1,No,Neither of the two,Neither of the two,Switching,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,-,1
Path planning for within-hand manipulation over learned representations of safe states,https://link.springer.com/chapter/10.1007/978-3-030-33950-0_38,Yale Model T-42,2,4,2,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,-,2
Toward human-like grasp: Dexterous grasping via semantic representation of object-hand,http://openaccess.thecvf.com/content/ICCV2021/html/Zhu_Toward_Human-Like_Grasp_Dexterous_Grasping_via_Semantic_Representation_of_Object-Hand_ICCV_2021_paper.html,Shadow Hand,5,24,20,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,2,-
A 22-DOFs Bio-inspired Soft Hand Achieving 6 Kinds of In-hand Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9517366,Custom Hand,5,22,22,Yes,Switching,Switching,Switching,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,-,6
A Bidirectional Soft Biomimetic Hand Driven by Water Hydraulic for Dexterous Underwater Grasping,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9682546,Custom Hand,6,6,9,Yes,Switching,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
A Geometric Approach for Grasping Unknown Objects With Multifingered Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9256325,Barrett Hand BH8-282,3,8,4,Yes,Switching,Switching,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,-,-
A Grasping Component Mapping Approach for Soft Robotic End-Effector Control,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8722773,Custom Hand (BCL-4 Soft Gripper),2,4,4,No,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
A Grasping Component Mapping Approach for Soft Robotic End-Effector Control,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8722773,Custom Hand (BCL-6 Soft Gripper),3,6,6,Yes,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
A Grasping Component Mapping Approach for Soft Robotic End-Effector Control,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8722773,Custom Hand (BCL-13 Soft Gripper),5,13,13,Yes,Switching,Neither of the two,Switching,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
A Grasping Component Mapping Approach for Soft Robotic End-Effector Control,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8722773,Custom Hand (BCL-8 Soft Gripper),4,8,8,Yes,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
An Anthropomorphic Robotic Finger With Innate Human-Finger-Like Biomechanical Advantages Part II: Flexible Tendon Sheath and Grasping Demonstration,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9882973,Custom Hand,3,11,6,No,Switching,Switching,Switching,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,-,-
Anthropomorphic Twisted String-Actuated Soft Robotic Gripper With Tendon-Based Stiffening,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9969176,Custom Hand,5,12,11,Yes,Neither of the two,Neither of the two,Switching,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,-,1
Autonomous Bimanual Functional Regrasping of Novel Object Class Instances,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9035030,Schunk SVH,5,20,9,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,1,-
C-Shaped Bidirectional Stiffness Joint Design For Anthropomorphic Hand,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9928329,Custom Hand,5,15,6,Yes,Switching,Neither of the two,Switching,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,-,-
Combining Analytical Modeling and Learning to Simplify Dexterous Manipulation With Adaptive Robot Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8590757,Yale OpenHand Model T42PF,2,4,2,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,-,2
Combining Analytical Modeling and Learning to Simplify Dexterous Manipulation With Adaptive Robot Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8590757,Yale OpenHand Model T42PP,2,4,2,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,-,2
Combining Analytical Modeling and Learning to Simplify Dexterous Manipulation With Adaptive Robot Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8590757,Yale OpenHand Model O,3,7,4,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,-,6
Combining Analytical Modeling and Learning to Simplify Dexterous Manipulation With Adaptive Robot Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8590757,Yale OpenHand Model FG,4,8,4,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,-,6
Complex In-Hand Manipulation Via Compliance-Enabled Finger Gaiting and Multi-Modal Planning,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9691924,Yale OpenHand Model Q,4,8,4,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,-,6
DVGG: Deep Variational Grasp Generation for Dextrous Manipulation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9670681,HIT-DLR II Hand,5,15,15,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Deep Learning Method for Grasping Novel Objects Using Dexterous Hands,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9210744,Shadow Dexterous Hand Lite,4,16,13,Yes,Switching,Switching,Switching,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Design Principle of a Dual-Actuated Robotic Hand With Anthropomorphic Self-Adaptive Grasping and Dexterous Manipulation Abilities,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9666897,Custom Hand (dual-actuated mini X-hand),5,11,2,Yes,Switching,Neither of the two,Switching,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,1,2
Visual dexterity: In-hand dexterous manipulation from depth,https://openreview.net/forum?id=wMDR6MHfIo,Custom Hand,4,12,12,No,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,-,3
Learning dexterous in-hand manipulation,https://journals.sagepub.com/doi/abs/10.1177/0278364919887447,Shadow Hand,5,24,20,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,-,3
Complex manipulation with a simple robotic hand through contact breaking and caging,https://www.science.org/doi/abs/10.1126/scirobotics.abd2666,Custom Hand,2,6,6,No,Switching,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,-,3
Exploring augmented grasping capabilities in a multi-synergistic soft bionic hand,https://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-020-00741-y,Softhand 2 Pro,5,19,2,Yes,Switching,Switching,Switching,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,3,1
Grasping Time and Pose Selection for Robotic Prosthetic Hand Control Using Deep Learning Based Object Detection,https://link.springer.com/article/10.1007/s12555-021-0449-6,Custom prosthetic hand,5,-1,-1,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-,-
Generative Attention Learning: A “GenerAL” framework for high-performance multi-fingered grasping in clutter,https://link.springer.com/article/10.1007/s10514-020-09907-y,Barrett Hand BH-280,3,8,4,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Generative Attention Learning: A “GenerAL” framework for high-performance multi-fingered grasping in clutter,https://link.springer.com/article/10.1007/s10514-020-09907-y,RH8D,5,19,8,Yes,Switching,Neither of the two,Switching,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Grasping ability and motion synergies in affordable tendon-driven prosthetic hands controlled by able-bodied subjects,https://www.frontiersin.org/articles/10.3389/fnbot.2020.00057/full,Dextrus 2.0,5,15,5,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,-,-
Grasping ability and motion synergies in affordable tendon-driven prosthetic hands controlled by able-bodied subjects,https://www.frontiersin.org/articles/10.3389/fnbot.2020.00057/full,InMoov,5,17,5,Yes,Switching,Switching,Switching,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,-,-
Grasping ability and motion synergies in affordable tendon-driven prosthetic hands controlled by able-bodied subjects,https://www.frontiersin.org/articles/10.3389/fnbot.2020.00057/full,Limbitless,5,14,5,Yes,Switching,Neither of the two,Switching,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-,-
Grasping ability and motion synergies in affordable tendon-driven prosthetic hands controlled by able-bodied subjects,https://www.frontiersin.org/articles/10.3389/fnbot.2020.00057/full,IMMA,5,15,6,Yes,Switching,Neither of the two,Switching,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,-,-
Shared control–based bimanual robot manipulation,https://www.science.org/doi/abs/10.1126/scirobotics.aaw0955,Custom Hand,3,6,1,Yes,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,-,-
Learning object manipulation skills via approximate state estimation from real videos,https://proceedings.mlr.press/v155/petrik21a.html,Franka Emika Panda Gripper,2,1,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Benchmarking anthropomorphic hands through grasping simulations,https://academic.oup.com/jcde/article-abstract/9/2/330/6537162,IMMA,5,15,6,Yes,Switching,Neither of the two,Switching,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Soft robotic gripper with chambered fingers for performing in-hand manipulation,https://www.mdpi.com/2076-3417/9/15/2967,Custom Hand,3,9,9,No,Neither of the two,Neither of the two,Switching,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,-,1
Development of Cable-driven Anthropomorphic Robot Hand,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9345451,Custom Hand,5,20,15,Yes,Switching,Switching,Switching,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,-
Fast Reactive Grasping with In-Finger Vision and In-Hand FPGA-accelerated CNNs,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9636043,Custom Hand,5,10,5,Yes,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,-,-
Picking Thin Objects by Tilt-and-Pivot Manipulation and Its Application to Bin Picking,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9197493,Robotiq 2F,2,2,1,No,Neither of the two,Neither of the two,Switching,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-,-
Rehand II: Wire-Driven Five-Fingered Electric Prosthetic Hand Utilizing Elasticity of a Cosmetic Glove,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8856658,Custom Hand,5,10,6,Yes,Switching,Neither of the two,Switching,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,-,-
