article_number,doi,title,authors,publication_year,publication_date,publication_title,content_type,publisher,abstract,author_terms,ieee_terms,dynamic_index_terms,conference_location,conference_dates,volume,issue,start_page,end_page,isbn,issn,access_type,citing_paper_count,citing_patent_count,download_count,html_url,pdf_url,abstract_url
10769950,10.1109/Humanoids58906.2024.10769950,DexGANGrasp: Dexterous Generative Adversarial Grasping Synthesis for Task-Oriented Manipulation,Qian Feng; David S. Martinez Lema; Mohammadhossein Malmir; Hang Li; Jianxiang Feng; Zhaopeng Chen; Alois Knoll,2024,22-24 Nov. 2024,2024 IEEE-RAS 23rd International Conference on Humanoid Robots (Humanoids),Conferences,IEEE,"We introduce DexGanGrasp, a dexterous grasp synthesis method that generates and evaluates grasps with a single view in real-time. DexGanGrasp comprises a Conditional Generative Adversarial Network (cGAN)-based DexGenerator to generate dexterous grasps and a discriminator-like DexEvalautor to assess the stability of these grasps. Extensive simulation and real-world experiments showcase the effectiveness of our proposed method, outperforming the baseline FFHNet with an $18.57 \%$ higher success rate in real-world evaluation. To further achieve task-oriented grasping, we extend DexGanGrasp to DexAfford-Prompt, an open-vocabulary affordance grounding pipeline for dexterous grasping leveraging Multimodal Large Language Models (MLLM) and Vision Language Models (VLM) with successful real-world deployments. For the code and data, visit our website.",,,,"Nancy, France",22-24 Nov. 2024,,,918,925,979-8-3503-7358-5,2164-0572,LOCKED,9,0,462,https://ieeexplore.ieee.org/document/10769950/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10769950,https://ieeexplore.ieee.org/document/10769950/
10801352,10.1109/IROS58592.2024.10801352,CoPa: General Robotic Manipulation through Spatial Constraints of Parts with Foundation Models,Haoxu Huang; Fanqi Lin; Yingdong Hu; Shengjie Wang; Yang Gao,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Foundation models pre-trained on web-scale data are shown to encapsulate extensive world knowledge beneficial for robotic manipulation in the form of task planning. However, the actual physical implementation of these plans often relies on task-specific learning methods, which require significant data collection and struggle with generalizability. In this work, we introduce Robotic Manipulation through Spatial Constraints of Parts (CoPa), a novel framework that leverages the common sense knowledge embedded within foundation models to generate a sequence of 6-DoF end-effector poses for open-world robotic manipulation. Specifically, we decompose the manipulation process into two phases: task-oriented grasping and task-aware motion planning. In the task-oriented grasping phase, we employ foundation vision-language models (VLMs) to select the object’s grasping part through a novel coarse-to-fine grounding mechanism. During the task-aware motion planning phase, VLMs are utilized again to identify the spatial geometry constraints of task-relevant object parts, which are then used to derive post-grasp poses. We also demonstrate how CoPa can be seamlessly integrated with existing robotic planning algorithms to accomplish complex, long-horizon tasks. Our comprehensive real-world experiments show that CoPa possesses a fine-grained physical understanding of scenes, capable of handling open-set instructions and objects with minimal prompt engineering and without additional training. Project page: copa-2024.github.io",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,9488,9495,979-8-3503-7771-2,2153-0858,LOCKED,61,0,1125,https://ieeexplore.ieee.org/document/10801352/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801352,https://ieeexplore.ieee.org/document/10801352/
10801449,10.1109/IROS58592.2024.10801449,NeuralLabeling: A versatile toolset for labeling vision datasets using Neural Radiance Fields,Floris Erich; Naoya Chiba; Abdullah Mustafa; Yusuke Yoshiyasu; Noriaki Ando; Ryo Hanai; Yukiyasu Domae,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"We present NeuralLabeling, a labeling approach and toolset for annotating 3D scenes using either bounding boxes or meshes and generating segmentation masks, affordance maps, 2D bounding boxes, 3D bounding boxes, 6DOF object poses, depth maps, and object meshes. NeuralLabeling uses Neural Radiance Fields (NeRF) as a renderer, allowing labeling to be performed using 3D spatial tools while incorporating geometric clues such as occlusions, relying only on images captured from multiple viewpoints as input. To demonstrate the applicability of NeuralLabeling to a practical problem in robotics, we added ground truth depth maps to 30000 frames of transparent object RGB and noisy depth maps of glasses placed in a dishwasher captured using an RGBD sensor, yielding the Dishwasher30k dataset. We show that training a simple deep neural network with supervision using the annotated depth maps yields a higher reconstruction performance than training with the previously applied weakly supervised approach. We also show how instance segmentation and depth completion datasets generated using NeuralLabeling can be incorporated into a robot application for grasping transparent objects placed in a dishwasher with an accuracy of 83.3%, compared to 16.3% without depth completion. Supplementary URI: https://florise.github.io/neural_labeling_web/.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,11086,11093,979-8-3503-7771-2,2153-0858,LOCKED,2,0,119,https://ieeexplore.ieee.org/document/10801449/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801449,https://ieeexplore.ieee.org/document/10801449/
10801488,10.1109/IROS58592.2024.10801488,Click to Grasp: Zero-Shot Precise Manipulation via Visual Diffusion Descriptors,Nikolaos Tsagkas; Jack Rome; Subramanian Ramamoorthy; Oisin Mac Aodha; Chris Xiaoxuan Lu,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Precise manipulation that is generalizable across scenes and objects remains a persistent challenge in robotics. Current approaches for this task heavily depend on having a significant number of training instances to handle objects with pronounced visual and/or geometric part ambiguities. Our work explores the grounding of fine-grained part descriptors for precise manipulation in a zero-shot setting by utilizing web-trained text-to-image diffusion-based generative models. We tackle the problem by framing it as a dense semantic part correspondence task. Our model returns a gripper pose for manipulating a specific part, using as reference a user-defined click from a source image of a visually different instance of the same object. We require no manual grasping demonstrations as we leverage the intrinsic object geometry and features. Practical experiments in a real-world tabletop scenario validate the efficacy of our approach, demonstrating its potential for advancing semantic-aware robotics manipulation.Web page: https://tsagkas.github.io/click2grasp",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,11610,11617,979-8-3503-7771-2,2153-0858,LOCKED,7,0,210,https://ieeexplore.ieee.org/document/10801488/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801488,https://ieeexplore.ieee.org/document/10801488/
10801525,10.1109/IROS58592.2024.10801525,GenCHiP: Generating Robot Policy Code for High-Precision and Contact-Rich Manipulation Tasks,Kaylee Burns; Ajinkya Jain; Keegan Go; Fei Xia; Michael Stark; Stefan Schaal; Karol Hausman,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Large Language Models (LLMs) have been successful at generating robot policy code, but so far these results have been limited to high-level tasks that do not require precise movement. It is an open question how well such approaches work for tasks that require reasoning over contact forces and working within tight success tolerances. We find that, with the right action space, LLMs are capable of successfully generating policies for a variety of contact-rich and high-precision manipulation tasks, even under noisy conditions, such as perceptual errors or grasping inaccuracies. Specifically, we reparameterize the action space to include compliance with constraints on the interaction forces and stiffnesses involved in reaching a target pose. We validate this approach on subtasks derived from the Functional Manipulation Benchmark (FMB) and NIST Task Board Benchmarks. Exposing this action space alongside methods for estimating object poses improves policy generation with an LLM by greater than 3x and 4x when compared to non-compliant action spaces. More material is available on our project webpage: https://dex-code-gen.github.io/dex-code-gen/",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,9596,9603,979-8-3503-7771-2,2153-0858,LOCKED,7,0,456,https://ieeexplore.ieee.org/document/10801525/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801525,https://ieeexplore.ieee.org/document/10801525/
10801606,10.1109/IROS58592.2024.10801606,ChatMap: A Wearable Platform Based on the Multi-modal Foundation Model to Augment Spatial Cognition for People with Blindness and Low Vision,Yu Hao; Alexey Magay; Hao Huang; Shuaihang Yuan; Congcong Wen; Yi Fang,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Spatial cognition refers to the ability to gain knowledge about their surroundings and utilize this information to identify their location, acquire resources, and navigate their way back to familiar places. People with blindness and low vision (pBLV) face significant challenges with spatial cognition due to the reliance on visual input. Without the full range of visual cues, pBLV individuals often find it difficult to grasp a comprehensive understanding of their environment, leading to obstacles in scene recognition and precise object localization, especially in unfamiliar environments. This limitation extends to their ability to independently detect and avoid potential tripping hazards, making navigation and interaction with their environment more challenging. In this paper, we present a pioneering wearable platform tailored to enhance the spatial cognition of pBLV through the integration of multi-modal foundation model. The proposed platform integrates a wearable camera with audio module and leverages the advanced capabilities of vision language foundation model (i.e., GPT-4 and GPT-4V), for the nuanced processing of visual and textual data. Specifically, we employ vision language models to bridge the gap between visual information and the proprioception of visually impaired users, offering more intelligible guidance by aligning visual data with the natural perception of space and movement. Then we apply prompt engineering to guide the large language model to act as an assistant tailored specifically for pBLV users to produce accurate answers. Another innovation in our model is the incorporation of a chain of thought reasoning process, which enhances the accuracy and interpretability of the model, facilitating the generation of more precise responses to complex user inquiries across diverse environmental contexts. To assess the practical impact of our proposed wearable platform, we carried out a series of real-world experiments across three tasks that are commonly challenging for people with blindness and low vision: risk assessment, object localization, and scene recognition. Additionally, through an ablation study conducted on the VizWiz dataset, we rigorously assess the contribution of each individual module, substantiating the integral role in the model’s overall performance.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,129,134,979-8-3503-7771-2,2153-0858,LOCKED,8,0,837,https://ieeexplore.ieee.org/document/10801606/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801606,https://ieeexplore.ieee.org/document/10801606/
10801718,10.1109/IROS58592.2024.10801718,RT-Grasp: Reasoning Tuning Robotic Grasping via Multi-modal Large Language Model,Jinxuan Xu; Shiyu Jin; Yutian Lei; Yuqian Zhang; Liangjun Zhang,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Recent advances in Large Language Models (LLMs) have showcased their remarkable reasoning capabilities, making them influential across various fields. However, in robotics, their use has primarily been limited to manipulation planning tasks due to their inherent textual output. This paper addresses this limitation by investigating the potential of adopting the reasoning ability of LLMs for generating numerical predictions in robotics tasks, specifically for robotic grasping. We propose Reasoning Tuning, a novel method that integrates a reasoning phase before prediction during training, leveraging the extensive prior knowledge and advanced reasoning abilities of LLMs. This approach enables LLMs, notably with multi-modal capabilities, to generate accurate numerical outputs like grasp poses that are context-aware and adaptable through conversations. Additionally, we present the Reasoning Tuning VLM Grasp dataset, carefully curated to facilitate the adaptation of LLMs to robotic grasping. Extensive validation on both grasping datasets and real-world experiments underscores the adaptability of multi-modal LLMs for numerical prediction tasks in robotics. This not only expands their applicability but also bridges the gap between text-based planning and direct robot control, thereby maximizing the potential of LLMs in robotics. Our dataset will be released. More details and videos of this work are available on our project page: https://sites.google.com/view/rt-grasp.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,7323,7330,979-8-3503-7771-2,2153-0858,LOCKED,14,0,661,https://ieeexplore.ieee.org/document/10801718/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801718,https://ieeexplore.ieee.org/document/10801718/
10801782,10.1109/IROS58592.2024.10801782,ManiFoundation Model for General-Purpose Robotic Manipulation of Contact Synthesis with Arbitrary Objects and Robots,Zhixuan Xu; Chongkai Gao; Zixuan Liu; Gang Yang; Chenrui Tie; Haozhuo Zheng; Haoyu Zhou; Weikun Peng; Debang Wang; Tianrun Hu; Tianyi Chen; Zhouliang Yu; Lin Shao,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"To substantially enhance robot intelligence, there is a pressing need to develop a large model that enables general-purpose robots to proficiently undertake a broad spectrum of manipulation tasks, akin to the versatile task-planning ability exhibited by LLMs. The vast diversity in objects, robots, and manipulation tasks presents huge challenges. Our work introduces a comprehensive framework to develop a foundation model for general robotic manipulation that formalizes a manipulation task as contact synthesis. Specifically, our model takes as input object and robot manipulator point clouds, object physical attributes, target motions, and manipulation region masks. It outputs contact points on the object and associated contact forces or post-contact motions for robots to achieve the desired manipulation task. We perform extensive experiments both in the simulation and real-world settings, manipulating articulated rigid objects, rigid objects, and deformable objects that vary in dimensionality, ranging from one-dimensional objects like ropes to two-dimensional objects like cloth and extending to three-dimensional objects such as plasticine. Our model achieves average success rates of around 90%. Supplementary materials and videos are available on our project website at https://manifoundationmodel.github.io/.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,10905,10912,979-8-3503-7771-2,2153-0858,LOCKED,8,0,458,https://ieeexplore.ieee.org/document/10801782/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801782,https://ieeexplore.ieee.org/document/10801782/
10801806,10.1109/IROS58592.2024.10801806,Visual Preference Inference: An Image Sequence-Based Preference Reasoning in Tabletop Object Manipulation,Joonhyung Lee; Sangbeom Park; Yongin Kwon; Jemin Lee; Minwook Ahn; Sungjoon Choi,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"In robotic object manipulation, human preferences can often be influenced by the visual attributes of objects, such as color and shape. These properties play a crucial role in operating a robot to interact with objects and align with human intention. In this paper, we focus on the problem of inferring underlying human preferences from a sequence of raw visual observations in tabletop manipulation environments with a variety of object types, named Visual Preference Inference (VPI). To facilitate visual reasoning in the context of manipulation, we introduce the Chain-of-Visual-Residuals (CoVR) method. CoVR employs a prompting mechanism that describes the difference between the consecutive images (i.e., visual residuals) and incorporates such texts with a sequence of images to infer the user’s preference. This approach significantly enhances the ability to understand and adapt to dynamic changes in its visual environment during manipulation tasks. Furthermore, we incorporate such texts along with a sequence of images to infer the user’s preferences. Our method outperforms baseline methods in terms of extracting human preferences from visual sequences in both simulation and real-world environments. Code and videos are available at: https://joonhyung-lee.github.io/vpi/",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,9745,9752,979-8-3503-7771-2,2153-0858,LOCKED,1,0,133,https://ieeexplore.ieee.org/document/10801806/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801806,https://ieeexplore.ieee.org/document/10801806/
10801903,10.1109/IROS58592.2024.10801903,Proposal and Demonstration of a Robot Behavior Planning System Utilizing Video with Open Source Models in Real-World Environments,Yuki Akutsu; Takahiro Yoshida; Yuki Kato; Yuichiro Sueoka; Koichi Osuka,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"In the field of robotics, researches have sought to control robots capable of dealing with a variety of environments and tasks generically, through the use of foundation models. Among these, the systems for robot behavior planning utilizing video have also been proposed. The system enables the generation of robot behaviors that are not dependent on specific environments or tasks. This is achieved by generating videos based on text input, which utilizes the vast knowledge inherent in the foundation models. Also, by using a visual interface such as video, it is possible to confirm the behavioral indicators on which the robot is operating. Although, there are few examples of research on robot behavior planning utilizing video. Previous studies have emphasized the verification of behavior generation utilizing video, with simplified object manipulation for testing on simulations. This is not enough to demonstrate the usefulness of robot behavior planning utilizing video in real-world environments. In addition, the systems from previous studies are not open, and such systems have not been sufficiently discussed. This paper attempts to construct robot behavior planning utilizing video as an open system, and to verify the validity of the behavior planning using actual machines. In this paper, we first focus on using Robotis's TURTLEBOT3 Waffle Pi and Mobile Manipulator(referred to as ""Waffle"") to construct robot behavior planning system utilizing video. Second, we create planning videos targeting the pick-and-place motion using the proposed system, and control the arm part of Waffle in the actual machine verification. Finally, by comparing the target coordinates from the planning video with the coordinates observed from the actual machine, we can confirm whether it is possible to control Waffle as planned. Errors are calculated from the coordinate comparison, and the control is performed again. Based on the results, we verify whether the proposed system is useful for controlling robots in real-world environments.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,7367,7374,979-8-3503-7771-2,2153-0858,LOCKED,0,0,131,https://ieeexplore.ieee.org/document/10801903/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801903,https://ieeexplore.ieee.org/document/10801903/
10801979,10.1109/IROS58592.2024.10801979,SAID-NeRF: Segmentation-AIDed NeRF for Depth Completion of Transparent Objects,Avinash Ummadisingu; Jongkeum Choi; Koki Yamane; Shimpei Masuda; Naoki Fukaya; Kuniyuki Takahashi,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Acquiring accurate depth information of transparent objects using off-the-shelf RGB-D cameras is a well-known challenge in Computer Vision and Robotics. Depth estimation/completion methods are typically employed and trained on datasets with quality depth labels acquired from either simulation, additional sensors or specialized data collection setups and known 3d models. However, acquiring reliable depth information for datasets at scale is not straightforward, limiting training scalability and generalization. Neural Radiance Fields (NeRFs) are learning-free approaches and have demonstrated wide success in novel view synthesis and shape recovery. However, heuristics and controlled environments (lights, backgrounds, etc) are often required to accurately capture specular surfaces. In this paper, we propose using Visual Foundation Models (VFMs) for segmentation in a zero-shot, label-free way to guide the NeRF reconstruction process for these objects via the simultaneous reconstruction of semantic fields and extensions to increase robustness. Our proposed method Segmentation-AIDed NeRF (SAID-NeRF) shows significant performance on depth completion datasets for transparent objects and robotic grasping.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,7535,7542,979-8-3503-7771-2,2153-0858,LOCKED,9,0,197,https://ieeexplore.ieee.org/document/10801979/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10801979,https://ieeexplore.ieee.org/document/10801979/
10802007,10.1109/IROS58592.2024.10802007,Lightweight Language-driven Grasp Detection using Conditional Consistency Model,Nghia Nguyen; Minh Nhat Vu; Baoru Huang; An Vuong; Ngan Le; Thieu Vo; Anh Nguyen,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Language-driven grasp detection is a fundamental yet challenging task in robotics with various industrial applications. This work presents a new approach for language-driven grasp detection that leverages lightweight diffusion models to achieve fast inference time. By integrating diffusion processes with grasping prompts in natural language, our method can effectively encode visual and textual information, enabling more accurate and versatile grasp positioning that aligns well with the text query. To overcome the long inference time problem in diffusion models, we leverage the image and text features as the condition in the consistency model to reduce the number of denoising timesteps during inference. The intensive experimental results show that our method outperforms other recent grasp detection methods and lightweight diffusion models by a clear margin. We further validate our method in real-world robotic experiments to demonstrate its fast inference time capability.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,13719,13725,979-8-3503-7771-2,2153-0858,LOCKED,9,0,390,https://ieeexplore.ieee.org/document/10802007/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10802007,https://ieeexplore.ieee.org/document/10802007/
10802010,10.1109/IROS58592.2024.10802010,Inverse Kinematics for Neuro-Robotic Grasping with Humanoid Embodied Agents,Jan-Gerrit Habekost; Connor Gäde; Philipp Allgeuer; Stefan Wermter,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"This paper introduces a novel zero-shot motion planning method that allows users to quickly design smooth robot motions in Cartesian space. A Bézier curve-based Cartesian plan is transformed into a joint space trajectory by our neuro-inspired inverse kinematics (IK) method CycleIK, for which we enable platform independence by scaling it to arbitrary robot designs. The motion planner is evaluated on the physical hardware of the two humanoid robots NICO and NICOL in a human-in-the-loop grasping scenario. Our method is deployed with an embodied agent that is a large language model (LLM) at its core. We generalize the embodied agent, that was introduced for NICOL, to also embody NICO. The agent can execute a discrete set of physical actions and allows the user to verbally instruct various different robots. We contribute a grasping primitive to its action space that allows for precise manipulation of household objects. The updated CycleIK2 method is compared to popular numerical IK solvers and state-of-the-art neural IK methods in simulation and is shown to be competitive with or outperform all evaluated methods when the algorithm runtime is very short. The grasping primitive is evaluated on both NICOL and NICO robots with a reported grasp success of 72% to 82% for each robot, respectively.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,7315,7322,979-8-3503-7771-2,2153-0858,LOCKED,7,0,353,https://ieeexplore.ieee.org/document/10802010/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10802010,https://ieeexplore.ieee.org/document/10802010/
10802181,10.1109/IROS58592.2024.10802181,"Embodied AI with Two Arms: Zero-shot Learning, Safety and Modularity",Jake Varley; Sumeet Singh; Deepali Jain; Krzysztof Choromanski; Andy Zeng; Somnath Basu Roy Chowdhury; Avinava Dubey; Vikas Sindhwani,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"We present an embodied AI system which receives open-ended natural language instructions from a human, and controls two arms to collaboratively accomplish potentially long-horizon tasks over a large workspace. Our system is modular: it deploys state of the art Large Language Models for task planning, Vision-Language models for semantic perception, and Point Cloud transformers for grasping. With semantic and physical safety in mind, these modules are interfaced with a real-time trajectory optimizer and a compliant tracking controller to enable human-robot proximity. We demonstrate performance for the following tasks: bi-arm sorting, bottle opening, and trash disposal tasks. These are done zero-shot where the models used have not been trained with any real world data from this bi-arm robot, scenes or workspace. Composing both learning- and non-learning-based components in a modular fashion with interpretable inputs and outputs allows the user to easily debug points of failures and fragilities. One may also in-place swap modules to improve the robustness of the overall platform, for instance with imitation-learned policies.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,3651,3657,979-8-3503-7771-2,2153-0858,LOCKED,14,0,695,https://ieeexplore.ieee.org/document/10802181/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10802181,https://ieeexplore.ieee.org/document/10802181/
10802219,10.1109/IROS58592.2024.10802219,KOSMOS-E : Learning to Follow Instruction for Robotic Grasping,Zhi Wang; Xun Wu; Shaohan Huang; Li Dong; Wenhui Wang; Shuming Ma; Furu Wei,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Tuning on instruction-following data has been shown to enhance the capabilities and controllability of language models, but the idea is less explored in the robotic field. In this work, we introduce KOSMOS-E, a Multimodal Large Language Model (MLLM) that leverages instruction-following robotic grasping data to enhance capabilities for precise and intricate robotic grasping maneuvers. To achieve this, we craft a large-scale instruction-following robotic grasping dataset, termed INSTRUCT-GRASP, primarily comprising two aspects: (i) grasp a single object following varying levels of granularity descriptions, e.g., different angles and aspects, and (ii) grasp a specific object within a multi-object environment following specific attributes, e.g., color and shape. Extensive experiments show the effectiveness of KOSMOS-E on robotic grasping tasks across a variety of environments.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,9510,9517,979-8-3503-7771-2,2153-0858,LOCKED,1,0,198,https://ieeexplore.ieee.org/document/10802219/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10802219,https://ieeexplore.ieee.org/document/10802219/
10802256,10.1109/IROS58592.2024.10802256,Language-driven Grasp Detection with Mask-guided Attention,Tuan Van Vo; Minh Nhat Vu; Baoru Huang; An Vuong; Ngan Le; Thieu Vo; Anh Nguyen,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"Grasp detection is an essential task in robotics with various industrial applications. However, traditional methods often struggle with occlusions and do not utilize language for grasping. Incorporating natural language into grasp detection remains a challenging task and largely unexplored. To address this gap, we propose a new method for language-driven grasp detection with mask-guided attention by utilizing the transformer attention mechanism with semantic segmentation features. Our approach integrates visual data, segmentation mask features, and natural language instructions, significantly improving grasp detection accuracy. Our work introduces a new framework for language-driven grasp detection, paving the way for language-driven robotic applications. Intensive experiments show that our method outperforms other recent baselines by a clear margin, with a 10.0% success score improvement. We further validate our method in real-world robotic experiments, confirming the effectiveness of our approach.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,7492,7498,979-8-3503-7771-2,2153-0858,LOCKED,5,0,429,https://ieeexplore.ieee.org/document/10802256/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10802256,https://ieeexplore.ieee.org/document/10802256/
10802332,10.1109/IROS58592.2024.10802332,Swiss DINO: Efficient and Versatile Vision Framework for On-device Personal Object Search,Kirill Paramonov; Jia-Xing Zhong; Umberto Michieli; Jijoong Moon; Mete Ozay,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"In this paper, we address a recent trend in robotic home appliances to include vision systems on personal devices, capable of personalizing the appliances on the fly. In particular, we formulate and address an important technical task of personal object search, which involves localization and identification of personal items of interest on images captured by robotic appliances, with each item referenced only by a few annotated images. The task is crucial for robotic home appliances and mobile systems, which need to process personal visual scenes or to operate with particular personal objects (e.g., for grasping or navigation). In practice, personal object search presents two main technical challenges. First, a robot vision system needs to be able to distinguish between many fine-grained classes, in the presence of occlusions and clutter. Second, the strict resource requirements for the on-device system restrict the usage of most state-of-the-art methods for few-shot learning and often prevent on-device adaptation. In this work, we propose Swiss DINO: a simple yet effective framework for one-shot personal object search based on the recent DINOv2 transformer model, which was shown to have strong zero-shot generalization properties. Swiss DINO handles challenging on-device personalized scene understanding requirements and does not require any adaptation training. We show significant improvement (up to 55%) in segmentation and recognition accuracy compared to the common lightweight solutions, and significant footprint reduction of backbone inference time (up to 100×) and GPU consumption (up to 10×) compared to the heavy transformer-based solutions1.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,2564,2571,979-8-3503-7771-2,2153-0858,LOCKED,5,0,195,https://ieeexplore.ieee.org/document/10802332/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10802332,https://ieeexplore.ieee.org/document/10802332/
10802596,10.1109/IROS58592.2024.10802596,Object Segmentation from Open-Vocabulary Manipulation Instructions Based on Optimal Transport Polygon Matching with Multimodal Foundation Models,Takayuki Nishimura; Katsuyuki Kuyo; Motonari Kambara; Komei Sugiura,2024,14-18 Oct. 2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Conferences,IEEE,"We consider the task of generating segmentation masks for the target object from an object manipulation instruction, which allows users to give open vocabulary instructions to domestic service robots. Conventional segmentation generation approaches often fail to account for objects outside the camera’s field of view and cases in which the order of vertices differs but still represents the same polygon, which leads to erroneous mask generation. In this study, we propose a novel method that generates segmentation masks from open vocabulary instructions. We implement a novel loss function using optimal transport to prevent significant loss where the order of vertices differs but still represents the same polygon. To evaluate our approach, we constructed a new dataset based on the REVERIE dataset and Matterport3D dataset. The results demonstrated the effectiveness of the proposed method compared with existing mask generation methods. Remarkably, our best model achieved a +16.32% improvement on the dataset compared with a representative polygon-based method.",,,,"Abu Dhabi, United Arab Emirates",14-18 Oct. 2024,,,9549,9556,979-8-3503-7771-2,2153-0858,LOCKED,0,0,103,https://ieeexplore.ieee.org/document/10802596/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10802596,https://ieeexplore.ieee.org/document/10802596/
